Year,State,Food-at-home per capita sales (nominal U.S. dollars),Food-away-from-home per capita sales (nominal U.S. dollars),Total food per capita sales (nominal U.S. dollars),Food-at-home per capita sales (constant U.S. dollars (1988=100)),Food-away-from-home per capita sales (constant U.S. dollars (1988=100)),Total food per capita sales (constant U.S. dollars (1988=100))
2020,Missouri,"2,611.09","2,465.53","5,076.62","1,284.78","1,014.75","2,299.53"
2021,Missouri,"2,754.82","2,932.52","5,687.34","1,310.56","1,148.53","2,459.09"
2022,Missouri,"2,946.79","3,354.33","6,301.12","1,242.18","1,208.22","2,450.40"
2023,Missouri,"2,974.80","3,587.22","6,562.02","1,191.81","1,209.70","2,401.51"
2024,Missouri,"3,010.65","3,671.37","6,682.02","1,192.86","1,196.53","2,389.39"
2018,Montana,"2,785.24","2,584.97","5,370.21","1,314.77","1,123.00","2,437.77"
2019,Montana,"2,864.70","2,686.92","5,551.62","1,331.98","1,127.22","2,459.20"
2020,Montana,"3,008.46","2,521.25","5,529.71","1,345.18","1,011.38","2,356.56"
2021,Montana,"3,193.78","3,188.36","6,382.14","1,368.36","1,219.53","2,587.89"
2022,Montana,"3,575.92","3,496.01","7,071.93","1,375.25","1,246.40","2,621.65"
2023,Montana,"3,654.05","3,677.28","7,331.33","1,343.14","1,220.12","2,563.26"
2024,Montana,"3,752.23","3,765.59","7,517.82","1,360.19","1,194.21","2,554.40"
2018,Nebraska,"2,562.67","2,486.57","5,049.24","1,303.75","1,077.52","2,381.27"
2019,Nebraska,"2,586.43","2,583.91","5,170.34","1,309.38","1,090.57","2,399.95"
2020,Nebraska,"2,679.13","2,408.84","5,087.97","1,318.26",991.42,"2,309.68"
2021,Nebraska,"2,886.25","3,036.54","5,922.79","1,373.08","1,189.27","2,562.35"
2022,Nebraska,"3,187.48","3,345.97","6,533.45","1,343.64","1,205.21","2,548.85"
2023,Nebraska,"3,205.16","3,525.26","6,730.42","1,284.10","1,188.80","2,472.90"
2024,Nebraska,"3,230.09","3,604.92","6,835.01","1,279.81","1,174.87","2,454.68"
2018,Nevada,"2,492.96","4,613.02","7,105.98","1,176.80","2,004.06","3,180.86"
2019,Nevada,"2,571.37","4,731.66","7,303.03","1,195.59","1,985.02","3,180.61"
2020,Nevada,"2,818.89","3,798.82","6,617.71","1,260.41","1,523.87","2,784.28"
2021,Nevada,"2,971.29","5,054.81","8,026.10","1,273.04","1,933.44","3,206.48"
2022,Nevada,"3,348.55","5,985.83","9,334.38","1,287.81","2,134.08","3,421.89"
2023,Nevada,"3,462.01","6,699.31","10,161.32","1,272.55","2,222.83","3,495.38"
2024,Nevada,"3,567.36","7,007.21","10,574.57","1,293.18","2,222.25","3,515.43"
2018,New Hampshire,"3,517.39","3,244.55","6,761.94","1,681.94","1,464.46","3,146.40"
2019,New Hampshire,"3,619.56","3,385.96","7,005.52","1,717.05","1,485.69","3,202.74"
2020,New Hampshire,"3,829.23","2,941.38","6,770.61","1,756.33","1,245.57","3,001.90"
2021,New Hampshire,"3,936.22","3,658.95","7,595.17","1,763.98","1,478.99","3,242.97"
2022,New Hampshire,"3,940.50","4,101.90","8,042.40","1,603.59","1,551.21","3,154.80"
2023,New Hampshire,"3,699.17","4,304.21","8,003.38","1,436.68","1,523.12","2,959.80"
2024,New Hampshire,"3,453.39","4,396.20","7,849.59","1,329.22","1,490.67","2,819.89"
2018,New Jersey,"2,270.03","2,842.54","5,112.57","1,085.49","1,283.01","2,368.50"
2019,New Jersey,"2,323.00","2,968.86","5,291.86","1,101.99","1,302.67","2,404.66"
2020,New Jersey,"2,337.71","2,346.15","4,683.86","1,072.22",993.51,"2,065.73"
2021,New Jersey,"2,444.41","3,016.04","5,460.45","1,095.44","1,219.12","2,314.56"
2022,New Jersey,"2,697.21","3,590.96","6,288.17","1,097.63","1,357.99","2,455.62"
2023,New Jersey,"2,705.51","3,942.33","6,647.84","1,050.77","1,395.06","2,445.83"
2024,New Jersey,"2,710.51","4,138.86","6,849.37","1,043.29","1,403.41","2,446.70"
2018,New Mexico,"2,365.28","2,515.80","4,881.08","1,116.53","1,092.95","2,209.48"
2019,New Mexico,"2,441.18","2,623.64","5,064.82","1,135.06","1,100.67","2,235.73"
2020,New Mexico,"2,606.30","2,314.92","4,921.22","1,165.36",928.61,"2,093.97"
2021,New Mexico,"2,796.70","2,982.82","5,779.52","1,198.23","1,140.91","2,339.14"
2022,New Mexico,"3,191.40","3,438.14","6,629.54","1,227.37","1,225.77","2,453.14"
2023,New Mexico,"3,271.53","3,791.26","7,062.79","1,202.53","1,257.94","2,460.47"
2024,New Mexico,"3,359.03","3,959.40","7,318.43","1,217.66","1,255.67","2,473.33"
2018,New York,"2,221.05","3,286.67","5,507.72","1,062.06","1,483.48","2,545.54"
2019,New York,"2,264.58","3,412.33","5,676.91","1,074.27","1,497.26","2,571.53"
2020,New York,"2,222.95","2,480.50","4,703.45","1,019.59","1,050.41","2,070.00"
2021,New York,"2,363.42","3,185.44","5,548.86","1,059.15","1,287.59","2,346.74"
2022,New York,"2,621.27","3,993.01","6,614.28","1,066.73","1,510.03","2,576.76"
2023,New York,"2,677.65","4,565.58","7,243.23","1,039.94","1,615.61","2,655.55"
2024,New York,"2,728.73","4,928.36","7,657.09","1,050.30","1,671.12","2,721.42"
2018,North Carolina,"2,253.66","2,696.10","4,949.76","1,094.41","1,197.95","2,292.36"
2019,North Carolina,"2,315.67","2,809.44","5,125.11","1,116.84","1,211.08","2,327.92"
2020,North Carolina,"2,537.40","2,581.31","5,118.71","1,182.18","1,083.16","2,265.34"
2021,North Carolina,"2,706.64","3,094.23","5,800.87","1,219.15","1,250.05","2,469.20"
2022,North Carolina,"2,905.48","3,595.14","6,500.62","1,175.01","1,347.68","2,522.69"
2023,North Carolina,"2,867.89","3,795.60","6,663.49","1,100.98","1,328.34","2,429.32"
2024,North Carolina,"2,841.19","3,884.78","6,725.97","1,077.33","1,308.70","2,386.03"
2018,North Dakota,"2,564.09","2,527.12","5,091.21","1,304.47","1,095.09","2,399.56"
2019,North Dakota,"2,532.55","2,592.74","5,125.29","1,282.11","1,094.29","2,376.40"
2020,North Dakota,"2,567.32","2,386.91","4,954.23","1,263.24",982.40,"2,245.64"
2021,North Dakota,"2,772.70","2,993.63","5,766.33","1,319.06","1,172.47","2,491.53"
2022,North Dakota,"2,973.69","3,179.57","6,153.26","1,253.52","1,145.27","2,398.79"
2023,North Dakota,"2,947.94","3,248.60","6,196.54","1,181.05","1,095.51","2,276.56"
2024,North Dakota,"2,940.13","3,262.36","6,202.49","1,164.92","1,063.23","2,228.15"
2018,Ohio,"2,457.38","2,655.58","5,112.96","1,250.18","1,150.76","2,400.94"
2019,Ohio,"2,484.84","2,748.34","5,233.18","1,257.95","1,159.97","2,417.92"
2020,Ohio,"2,610.56","2,474.44","5,085.00","1,284.52","1,018.42","2,302.94"
2021,Ohio,"2,736.74","2,991.26","5,728.00","1,301.96","1,171.54","2,473.50"
2022,Ohio,"2,950.51","3,361.28","6,311.79","1,243.75","1,210.72","2,454.47"
2023,Ohio,"2,955.26","3,525.08","6,480.34","1,183.98","1,188.75","2,372.73"
2024,Ohio,"2,961.99","3,598.43","6,560.42","1,173.58","1,172.76","2,346.34"
2018,Oklahoma,"2,297.52","2,525.37","4,822.89","1,115.71","1,122.09","2,237.80"
2019,Oklahoma,"2,318.03","2,647.61","4,965.64","1,117.97","1,141.31","2,259.28"
2020,Oklahoma,"2,543.48","2,579.68","5,123.16","1,185.01","1,082.48","2,267.49"
2021,Oklahoma,"2,717.37","3,086.32","5,803.69","1,223.98","1,246.85","2,470.83"
2022,Oklahoma,"3,068.26","3,346.76","6,415.02","1,240.84","1,254.58","2,495.42"
2023,Oklahoma,"3,097.22","3,464.05","6,561.27","1,189.01","1,212.31","2,401.32"
2024,Oklahoma,"3,143.43","3,494.86","6,638.29","1,191.93","1,177.34","2,369.27"
2018,Oregon,"2,737.53","2,762.38","5,499.91","1,292.25","1,200.07","2,492.32"
2019,Oregon,"2,817.90","2,856.90","5,674.80","1,310.22","1,198.52","2,508.74"
2020,Oregon,"3,010.82","2,405.57","5,416.39","1,346.23",964.98,"2,311.21"
2021,Oregon,"3,215.99","2,975.74","6,191.73","1,377.88","1,138.20","2,516.08"
2022,Oregon,"3,566.40","3,477.65","7,044.05","1,371.59","1,239.86","2,611.45"
2023,Oregon,"3,612.80","3,838.64","7,451.44","1,327.97","1,273.66","2,601.63"
2024,Oregon,"3,655.64","4,058.51","7,714.15","1,325.18","1,287.10","2,612.28"
2018,Pennsylvania,"2,348.33","2,435.29","4,783.62","1,122.92","1,099.19","2,222.11"
2019,Pennsylvania,"2,392.84","2,534.63","4,927.47","1,135.12","1,112.14","2,247.26"
2020,Pennsylvania,"2,466.76","2,085.81","4,552.57","1,131.41",883.27,"2,014.68"
2021,Pennsylvania,"2,650.05","2,549.96","5,200.01","1,187.60","1,030.72","2,218.32"
2022,Pennsylvania,"2,816.87","2,977.25","5,794.12","1,146.33","1,125.90","2,272.23"
2023,Pennsylvania,"2,891.43","3,261.02","6,152.45","1,122.97","1,153.97","2,276.94"
2024,Pennsylvania,"2,965.86","3,417.36","6,383.22","1,141.57","1,158.77","2,300.34"
2018,Rhode Island,"2,008.18","3,219.38","5,227.56",960.27,"1,453.10","2,413.37"
2019,Rhode Island,"2,070.15","3,370.42","5,440.57",982.04,"1,478.87","2,460.91"
2020,Rhode Island,"2,066.09","2,713.65","4,779.74",947.64,"1,149.14","2,096.78"
2021,Rhode Island,"2,269.45","3,554.69","5,824.14","1,017.03","1,436.85","2,453.88"
2022,Rhode Island,"2,570.55","4,077.92","6,648.47","1,046.08","1,542.14","2,588.22"
2023,Rhode Island,"2,644.96","4,413.39","7,058.35","1,027.25","1,561.76","2,589.01"
2024,Rhode Island,"2,715.99","4,561.16","7,277.15","1,045.39","1,546.61","2,592.00"
2018,South Carolina,"2,295.78","2,906.51","5,202.29","1,114.86","1,291.44","2,406.30"
2019,South Carolina,"2,341.76","3,025.51","5,367.27","1,129.42","1,304.22","2,433.64"
2020,South Carolina,"2,547.99","2,928.75","5,476.74","1,187.11","1,228.95","2,416.06"
2021,South Carolina,"2,658.22","3,529.71","6,187.93","1,197.34","1,425.98","2,623.32"
2022,South Carolina,"2,979.08","3,903.37","6,882.45","1,204.77","1,463.23","2,668.00"
2023,South Carolina,"2,993.60","4,109.38","7,102.98","1,149.23","1,438.15","2,587.38"
2024,South Carolina,"3,024.17","4,178.66","7,202.83","1,146.71","1,407.70","2,554.41"
2018,South Dakota,"2,475.14","2,437.28","4,912.42","1,259.22","1,056.16","2,315.38"
2019,South Dakota,"2,459.23","2,489.08","4,948.31","1,244.99","1,050.54","2,295.53"
2020,South Dakota,"2,548.71","2,328.48","4,877.19","1,254.09",958.35,"2,212.44"
2021,South Dakota,"2,722.79","2,909.72","5,632.51","1,295.32","1,139.60","2,434.92"
2022,South Dakota,"3,092.31","3,183.58","6,275.89","1,303.52","1,146.71","2,450.23"
2023,South Dakota,"3,155.64","3,339.11","6,494.75","1,264.26","1,126.03","2,390.29"
2024,South Dakota,"3,245.25","3,434.14","6,679.39","1,285.82","1,119.21","2,405.03"
2018,Tennessee,"2,299.04","2,958.78","5,257.82","1,116.45","1,314.66","2,431.11"
2019,Tennessee,"2,336.22","3,101.96","5,438.18","1,126.75","1,337.18","2,463.93"
2020,Tennessee,"2,753.02","2,851.59","5,604.61","1,282.63","1,196.57","2,479.20"
2021,Tennessee,"2,895.06","3,427.96","6,323.02","1,304.02","1,384.88","2,688.90"
2022,Tennessee,"3,211.08","3,844.10","7,055.18","1,298.60","1,441.01","2,739.61"
2023,Tennessee,"3,272.28","4,085.27","7,357.55","1,256.22","1,429.71","2,685.93"
2024,Tennessee,"3,316.31","4,202.02","7,518.33","1,257.48","1,415.57","2,673.05"
2018,Texas,"2,375.88","3,065.16","5,441.04","1,153.76","1,361.93","2,515.69"
2019,Texas,"2,432.86","3,212.89","5,645.75","1,173.36","1,384.99","2,558.35"
2020,Texas,"2,637.25","2,947.69","5,584.94","1,228.70","1,236.90","2,465.60"
2021,Texas,"2,806.28","3,573.93","6,380.21","1,264.03","1,443.84","2,707.87"
2022,Texas,"3,131.22","4,027.54","7,158.76","1,266.30","1,509.78","2,776.08"
2023,Texas,"3,175.47","4,278.79","7,454.26","1,219.05","1,497.44","2,716.49"
2024,Texas,"3,233.43","4,375.21","7,608.64","1,226.06","1,473.91","2,699.97"
2018,Utah,"2,843.97","2,526.82","5,370.79","1,342.49","1,097.74","2,440.23"
2019,Utah,"2,915.40","2,637.71","5,553.11","1,355.55","1,106.57","2,462.12"
2020,Utah,"3,043.68","2,489.32","5,533.00","1,360.92",998.58,"2,359.50"
2021,Utah,"3,297.89","3,021.02","6,318.91","1,412.97","1,155.52","2,568.49"
2022,Utah,"3,500.39","3,377.21","6,877.60","1,346.20","1,204.05","2,550.25"
2023,Utah,"3,589.00","3,573.32","7,162.32","1,319.23","1,185.63","2,504.86"
2024,Utah,"3,680.58","3,691.47","7,372.05","1,334.22","1,170.70","2,504.92"
2018,Vermont,"2,399.02","2,716.95","5,115.97","1,147.16","1,226.32","2,373.48"
2019,Vermont,"2,433.97","2,798.94","5,232.91","1,154.63","1,228.11","2,382.74"
2020,Vermont,"2,450.19","2,257.19","4,707.38","1,123.81",955.84,"2,079.65"
2021,Vermont,"2,571.63","2,822.75","5,394.38","1,152.45","1,140.99","2,293.44"
2022,Vermont,"2,799.76","3,169.72","5,969.48","1,139.37","1,198.69","2,338.06"
2023,Vermont,"2,803.97","3,379.80","6,183.77","1,089.01","1,196.01","2,285.02"
2024,Vermont,"2,820.23","3,516.69","6,336.92","1,085.52","1,192.45","2,277.97"
2018,Virginia,"2,501.66","2,823.50","5,325.16","1,214.84","1,254.56","2,469.40"
2019,Virginia,"2,537.21","2,909.39","5,446.60","1,223.68","1,254.16","2,477.84"
2020,Virginia,"2,690.20","2,507.48","5,197.68","1,253.37","1,052.18","2,305.55"
2021,Virginia,"2,863.69","2,968.86","5,832.55","1,289.89","1,199.40","2,489.29"
2022,Virginia,"3,118.10","3,531.40","6,649.50","1,261.00","1,323.79","2,584.79"
2023,Virginia,"3,053.82","3,757.00","6,810.82","1,172.35","1,314.83","2,487.18"
2024,Virginia,"3,003.83","3,857.04","6,860.87","1,139.00","1,299.35","2,438.35"
2018,Washington,"4,924.80","3,198.48","8,123.28","2,324.74","1,389.53","3,714.27"
2019,Washington,"5,163.60","3,314.96","8,478.56","2,400.88","1,390.69","3,791.57"
2020,Washington,"5,653.66","2,842.44","8,496.10","2,527.93","1,140.23","3,668.16"
2021,Washington,"5,909.69","3,514.83","9,424.52","2,531.98","1,344.41","3,876.39"
2022,Washington,"3,628.71","3,750.96","7,379.67","1,395.55","1,337.30","2,732.85"
2023,Washington,"3,559.07","4,148.92","7,707.99","1,308.23","1,376.61","2,684.84"
2024,Washington,"3,508.37","4,387.77","7,896.14","1,271.79","1,391.52","2,663.31"
2018,West Virginia,"2,114.16","2,195.10","4,309.26","1,026.67",975.34,"2,002.01"
2019,West Virginia,"2,121.93","2,295.17","4,417.10","1,023.40",989.39,"2,012.79"
2020,West Virginia,"2,221.05","2,127.88","4,348.93","1,034.79",892.89,"1,927.68"
2021,West Virginia,"2,382.90","2,602.18","4,985.08","1,073.33","1,051.26","2,124.59"
2022,West Virginia,"2,599.85","2,739.15","5,339.00","1,051.41","1,026.81","2,078.22"
2023,West Virginia,"2,534.07","2,875.07","5,409.14",972.82,"1,006.18","1,979.00"
2024,West Virginia,"2,469.09","2,884.82","5,353.91",936.23,971.83,"1,908.06"
2018,Wisconsin,"2,350.62","2,325.84","4,676.46","1,195.87","1,007.87","2,203.74"
2019,Wisconsin,"2,379.89","2,405.50","4,785.39","1,204.82","1,015.27","2,220.09"
2020,Wisconsin,"2,504.42","2,129.57","4,633.99","1,232.29",876.48,"2,108.77"
2021,Wisconsin,"2,651.13","2,588.08","5,239.21","1,261.23","1,013.63","2,274.86"
2022,Wisconsin,"2,931.24","2,891.32","5,822.56","1,235.62","1,041.45","2,277.07"
2023,Wisconsin,"2,978.19","3,029.99","6,008.18","1,193.17","1,021.79","2,214.96"
2024,Wisconsin,"3,041.79","3,098.56","6,140.35","1,205.20","1,009.85","2,215.05"
2018,Wyoming,"2,707.58","2,803.56","5,511.14","1,278.11","1,217.96","2,496.07"
2019,Wyoming,"2,753.64","2,933.82","5,687.46","1,280.34","1,230.79","2,511.13"
2020,Wyoming,"2,982.31","2,843.70","5,826.01","1,333.48","1,140.73","2,474.21"
2021,Wyoming,"3,175.06","3,631.80","6,806.86","1,360.34","1,389.14","2,749.48"
2022,Wyoming,"3,596.26","3,903.34","7,499.60","1,383.07","1,391.63","2,774.70"
2023,Wyoming,"3,637.66","4,056.73","7,694.39","1,337.11","1,346.02","2,683.13"
2024,Wyoming,"3,696.16","4,101.87","7,798.03","1,339.87","1,300.85","2,640.72"